cost_real_0,cost_real_1,cost_real_2,timestep
-1.000000000000000000e+00,-7.639866638183593750e+01,-2.156681299209594727e+00,1.980000000000000000e+02
-1.000000000000000000e+00,-7.725594329833984375e+01,-2.127744197845458984e+00,1.990000000000000000e+02
-1.000000000000000000e+00,-7.815408325195312500e+01,-2.099344730377197266e+00,2.000000000000000000e+02
-1.000000000000000000e+00,-7.899909210205078125e+01,-2.071518182754516602e+00,2.010000000000000000e+02
-1.000000000000000000e+00,-7.988201141357421875e+01,-2.044266223907470703e+00,2.020000000000000000e+02
-1.000000000000000000e+00,-8.077262115478515625e+01,-2.017493009567260742e+00,2.030000000000000000e+02
-1.000000000000000000e+00,-8.166925811767578125e+01,-1.991150140762329102e+00,2.040000000000000000e+02
-1.000000000000000000e+00,-8.257125854492187500e+01,-1.965212106704711914e+00,2.050000000000000000e+02
-1.000000000000000000e+00,-8.350405120849609375e+01,-1.939776182174682617e+00,2.060000000000000000e+02
-1.000000000000000000e+00,-8.439001464843750000e+01,-1.914914369583129883e+00,2.070000000000000000e+02
-1.000000000000000000e+00,-8.530676269531250000e+01,-1.890758275985717773e+00,2.080000000000000000e+02
-1.000000000000000000e+00,-8.622634124755859375e+01,-1.867320537567138672e+00,2.090000000000000000e+02
-1.000000000000000000e+00,-8.714936828613281250e+01,-1.844522714614868164e+00,2.100000000000000000e+02
-1.000000000000000000e+00,-8.807548522949218750e+01,-1.822215795516967773e+00,2.110000000000000000e+02
-1.000000000000000000e+00,-8.902689361572265625e+01,-1.800269365310668945e+00,2.120000000000000000e+02
-1.000000000000000000e+00,-8.993528747558593750e+01,-1.778554677963256836e+00,2.130000000000000000e+02
-1.000000000000000000e+00,-9.086951446533203125e+01,-1.757160902023315430e+00,2.140000000000000000e+02
-1.000000000000000000e+00,-9.487153625488281250e+01,-1.736170291900634766e+00,2.150000000000000000e+02
-1.000000000000000000e+00,-9.274118804931640625e+01,-1.715797662734985352e+00,2.160000000000000000e+02
-1.000000000000000000e+00,-1.293935394287109375e+02,-1.696128845214843750e+00,2.170000000000000000e+02
-1.000000000000000000e+00,-9.463890075683593750e+01,-1.677196502685546875e+00,2.180000000000000000e+02
-1.000000000000000000e+00,-9.556204223632812500e+01,-1.658758878707885742e+00,2.190000000000000000e+02
-1.000000000000000000e+00,-9.650417327880859375e+01,-1.640626668930053711e+00,2.200000000000000000e+02
-1.000000000000000000e+00,-9.746508789062500000e+01,-1.622581005096435547e+00,2.210000000000000000e+02
-1.000000000000000000e+00,-9.839324188232421875e+01,-1.604571104049682617e+00,2.220000000000000000e+02
-1.000000000000000000e+00,-9.933830261230468750e+01,-1.586747169494628906e+00,2.230000000000000000e+02
-1.000000000000000000e+00,-1.002835617065429688e+02,-1.569366931915283203e+00,2.240000000000000000e+02
-1.000000000000000000e+00,-1.003138656616210938e+02,-1.552699565887451172e+00,2.250000000000000000e+02
-1.000000000000000000e+00,-1.003150405883789062e+02,-1.536879539489746094e+00,2.260000000000000000e+02
-1.000000000000000000e+00,-1.003168106079101562e+02,-1.521726131439208984e+00,2.270000000000000000e+02
-1.000000000000000000e+00,-1.003179931640625000e+02,-1.506959438323974609e+00,2.280000000000000000e+02
-1.000000000000000000e+00,-1.003185806274414062e+02,-1.492192029953002930e+00,2.290000000000000000e+02
-1.000000000000000000e+00,-1.003332977294921875e+02,-1.477150201797485352e+00,2.300000000000000000e+02
-1.000000000000000000e+00,-1.003191680908203125e+02,-1.461932182312011719e+00,2.310000000000000000e+02
-1.000000000000000000e+00,-1.003191757202148438e+02,-1.446848630905151367e+00,2.320000000000000000e+02
-1.000000000000000000e+00,-1.003327178955078125e+02,-1.432402610778808594e+00,2.330000000000000000e+02
-1.000000000000000000e+00,-1.003191680908203125e+02,-1.418939590454101562e+00,2.340000000000000000e+02
-1.000000000000000000e+00,-1.033669662475585938e+02,-1.406503915786743164e+00,2.350000000000000000e+02
-1.000000000000000000e+00,-1.003209304809570312e+02,-1.394751787185668945e+00,2.360000000000000000e+02
-1.000000000000000000e+00,-1.003227005004882812e+02,-1.383063793182373047e+00,2.370000000000000000e+02
-1.000000000000000000e+00,-1.003221206665039062e+02,-1.370851755142211914e+00,2.380000000000000000e+02
-1.000000000000000000e+00,-1.003233032226562500e+02,-1.357943773269653320e+00,2.390000000000000000e+02
-1.000000000000000000e+00,-1.003238830566406250e+02,-1.344635963439941406e+00,2.400000000000000000e+02
-1.000000000000000000e+00,-1.033706130981445312e+02,-1.331645965576171875e+00,2.410000000000000000e+02
-1.000000000000000000e+00,-1.003215255737304688e+02,-1.319710969924926758e+00,2.420000000000000000e+02
-1.000000000000000000e+00,-1.003221206665039062e+02,-1.309270858764648438e+00,2.430000000000000000e+02
-1.000000000000000000e+00,-1.003344879150390625e+02,-1.300131320953369141e+00,2.440000000000000000e+02
-1.000000000000000000e+00,-1.003350677490234375e+02,-1.291478157043457031e+00,2.450000000000000000e+02
-1.000000000000000000e+00,-1.003256454467773438e+02,-1.282265186309814453e+00,2.460000000000000000e+02
-1.000000000000000000e+00,-1.003262405395507812e+02,-1.271789789199829102e+00,2.470000000000000000e+02
-1.000000000000000000e+00,-1.003274154663085938e+02,-1.259975433349609375e+00,2.480000000000000000e+02
-1.000000000000000000e+00,-1.003256454467773438e+02,-1.247699737548828125e+00,2.490000000000000000e+02
-1.000000000000000000e+00,-1.033730392456054688e+02,-1.236302375793457031e+00,2.500000000000000000e+02
-1.000000000000000000e+00,-1.003344879150390625e+02,-1.226812124252319336e+00,2.510000000000000000e+02
-1.000000000000000000e+00,-1.003244705200195312e+02,-1.219636440277099609e+00,2.520000000000000000e+02
-1.000000000000000000e+00,-1.003256378173828125e+02,-1.213947057723999023e+00,2.530000000000000000e+02
-1.000000000000000000e+00,-1.003274154663085938e+02,-1.208225488662719727e+00,2.540000000000000000e+02
-1.000000000000000000e+00,-1.003285903930664062e+02,-1.200753211975097656e+00,2.550000000000000000e+02
-1.000000000000000000e+00,-1.003350830078125000e+02,-1.190758466720581055e+00,2.560000000000000000e+02
-1.000000000000000000e+00,-1.003291778564453125e+02,-1.178808927536010742e+00,2.570000000000000000e+02
-1.000000000000000000e+00,-1.003268280029296875e+02,-1.166718482971191406e+00,2.580000000000000000e+02
-1.000000000000000000e+00,-1.003250503540039062e+02,-1.156730175018310547e+00,2.590000000000000000e+02
-1.000000000000000000e+00,-1.003250579833984375e+02,-1.150254249572753906e+00,2.600000000000000000e+02
-1.000000000000000000e+00,-1.033730392456054688e+02,-1.147135019302368164e+00,2.610000000000000000e+02
